,smiles,MP
256,CCCCCCCCCOCn1cc[n+](COCCCCCCCCC)c1.F[B-](F)(F)F,57.0
257,CCCCCCCCCCOCn1cc[n+](COCCCCCCCCCC)c1.F[B-](F)(F)F,69.0
258,CCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCC)c1.F[B-](F)(F)F,71.0
259,CCCCCCCCCCCCOCn1cc[n+](COCCCCCCCCCCCC)c1.F[B-](F)(F)F,79.0
260,Cn1cc[n+](CCO)c1.[Cl-],61.0
261,Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,23.0
262,COC(=O)C[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,77.0
263,CCC(C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43.0
264,CC(C)CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,40.0
265,C[n+]1ccn(CCO[Si](C)(C)C)c1.[I-],69.0
266,C[Si](C)(C)OCCn1cc[n+](CCF)c1.[Br-],126.0
267,C[Si](C)(C)OCCn1cc[n+](CCC(F)(F)F)c1.[I-],133.0
268,C[n+]1ccn(CC#N)c1.F[B-](F)(F)F,35.0
269,C[n+]1ccn(CC#N)c1.F[P-](F)(F)(F)(F)F,78.0
270,C[n+]1ccn(CCC#N)c1.[Cl-],50.0
271,C[n+]1ccn(CCC#N)c1.F[B-](F)(F)F,20.0
272,C[n+]1ccn(CCC#N)c1.F[P-](F)(F)(F)(F)F,35.0
273,C[n+]1ccn(CCCC#N)c1.[Cl-],80.0
274,C[n+]1ccn(CCCC#N)c1.F[P-](F)(F)(F)(F)F,75.0
275,C[n+]1ccn(CCCCC#N)c1.[Cl-],32.0
276,CCCC[NH+]1C=CN(CCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-50.0
277,CCCC[NH+]1C=CN(CCCP(=O)(OCC)OCC)C1.F[P-](F)(F)(F)(F)F,-53.0
